,Unnamed: 0,location,size,total_sqft,bath,balcony,price,location_encode,size_encode
0,0,Electronic City Phase II,2 BHK,1056.0,2.0,1.0,39.07,132,5199
1,1,Chikka Tirupathi,4 Bedroom,2600.0,5.0,3.0,120.0,17,826
2,2,Uttarahalli,3 BHK,1440.0,2.0,3.0,62.0,186,4309
3,3,Lingadheeranahalli,3 BHK,1521.0,3.0,1.0,95.0,23,4309
4,4,Kothanur,2 BHK,1200.0,2.0,1.0,51.0,66,5199
5,5,Whitefield,2 BHK,1170.0,2.0,1.0,38.0,540,5199
6,6,Old Airport Road,4 BHK,2732.0,4.0,3.0,204.0,33,591
7,7,Rajaji Nagar,4 BHK,3300.0,4.0,3.0,600.0,107,591
8,8,Marathahalli,3 BHK,1310.0,3.0,1.0,63.25,175,4309
9,9,Gandhi Bazar,6 Bedroom,1020.0,6.0,3.0,370.0,2,191
10,10,Whitefield,3 BHK,1800.0,2.0,2.0,70.0,540,4309
11,11,Whitefield,4 Bedroom,2785.0,5.0,3.0,295.0,540,826
12,12,7th Phase JP Nagar,2 BHK,1000.0,2.0,1.0,38.0,149,5199
13,13,Gottigere,2 BHK,1100.0,2.0,2.0,40.0,48,5199
14,14,Sarjapur,3 Bedroom,2250.0,3.0,2.0,148.0,82,547
15,15,Mysore Road,2 BHK,1175.0,2.0,2.0,73.5,50,5199
16,16,Bisuvanahalli,3 BHK,1180.0,3.0,2.0,48.0,51,4309
17,17,Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,3.0,60.0,171,4309
18,18,Ramakrishnappa Layout,3 BHK,2770.0,4.0,2.0,290.0,7,4309
19,19,Manayata Tech Park,2 BHK,1100.0,2.0,2.0,48.0,8,5199
20,20,Kengeri,1 BHK,600.0,1.0,1.0,15.0,73,538
21,21,Binny Pete,3 BHK,1755.0,3.0,1.0,122.0,21,4309
22,22,Thanisandra,4 Bedroom,2800.0,5.0,2.0,380.0,234,826
23,23,Bellandur,3 BHK,1767.0,3.0,1.0,103.0,96,4309
24,24, Thanisandra,1 RK,510.0,1.0,0.0,25.25,3,13
25,25,Mangammanapalya,3 BHK,1250.0,3.0,2.0,56.0,3,4309
26,26,Electronic City,2 BHK,660.0,1.0,1.0,23.1,302,5199
27,27,Whitefield,3 BHK,1610.0,3.0,2.0,81.0,540,4309
28,28,Ramagondanahalli,2 BHK,1151.0,2.0,2.0,48.77,50,5199
29,29,Electronic City,3 BHK,1025.0,2.0,1.0,47.0,302,4309
30,30,Yelahanka,4 BHK,2100.0,4.0,0.0,186.0,213,591
31,31,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,35.0,51,4309
32,32,Hebbal,3 BHK,1760.0,2.0,2.0,123.0,177,4309
33,33,Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,3.0,57.39,171,4309
34,34,Kasturi Nagar,3 BHK,1925.0,3.0,3.0,125.0,16,4309
35,35,Kanakpura Road,2 BHK,700.0,2.0,1.0,36.0,273,5199
36,36,Electronics City Phase 1,2 BHK,1070.0,2.0,1.0,45.5,88,5199
37,37,Kundalahalli,3 BHK,1724.0,3.0,2.0,125.0,47,4309
38,38,Chikkalasandra,3 BHK,1290.0,2.0,2.0,56.12,30,4309
39,39,Uttarahalli,2 BHK,1143.0,2.0,2.0,45.0,186,5199
40,40,Murugeshpalya,2 BHK,1296.0,2.0,3.0,81.0,14,5199
41,41,Sarjapur  Road,3 BHK,1254.0,3.0,2.0,38.0,399,4309
42,42,Ganga Nagar,1 BHK,600.0,1.0,0.0,38.0,10,538
43,43,Yelahanka,1 Bedroom,660.0,1.0,0.0,48.0,213,121
44,44,Kanakpura Road,2 BHK,1330.74,2.0,2.0,91.79,273,5199
45,45,HSR Layout,8 Bedroom,600.0,9.0,3.0,200.0,53,84
46,46,Doddathoguru,2 BHK,970.0,2.0,0.0,33.0,30,5199
47,47,Whitefield,2 BHK,1459.0,2.0,1.0,94.82,540,5199
48,48,KR Puram,2 Bedroom,800.0,1.0,1.0,130.0,91,329
49,49,Himagiri Meadows,2 BHK,869.0,2.0,1.0,36.0,3,5199
50,50,Adarsh Nagar,2 BHK,1270.0,2.0,1.0,50.0,1,5199
51,51,Bhoganhalli,3 BHK,1670.0,3.0,1.0,99.0,49,4309
52,52,Whitefield,3 BHK,2010.0,3.0,2.0,91.0,540,4309
53,53,Lakshminarayana Pura,2 BHK,1185.0,2.0,2.0,75.0,36,5199
54,54,Yelahanka,3 BHK,1600.0,2.0,3.0,75.0,213,4309
55,55,Begur Road,2 BHK,1200.0,2.0,2.0,44.0,84,5199
56,56,Devanahalli,4 Bedroom,3010.0,788.0,3.0,192.0,45,826
57,57,Ramakrishnappa Layout,2 BHK,1500.0,2.0,2.0,185.0,7,5199
58,58,Murugeshpalya,6 Bedroom,1407.0,4.0,1.0,150.0,14,191
59,59,Govindaraja Nagar Ward,2 BHK,840.0,2.0,2.0,45.0,2,5199
60,60,Tharabanahalli,3 Bedroom,4395.0,3.0,2.0,240.0,1,547
61,61,Ganga Nagar,2 BHK,845.0,2.0,1.0,55.0,10,5199
62,62,Whitefield,4 Bedroom,5700.0,5.0,3.0,650.0,540,826
63,63,Varthur,2 BHK,1160.0,2.0,2.0,44.0,70,5199
64,64,Bommanahalli,8 Bedroom,3000.0,8.0,0.0,140.0,35,84
65,65,Doddathoguru,2 BHK,1100.0,2.0,1.0,62.0,30,5199
66,66,Gunjur,2 BHK,1140.0,2.0,3.0,43.0,22,5199
67,67,Marathahalli,2 BHK,1220.0,2.0,1.0,57.0,175,5199
68,68,Devarachikkanahalli,8 Bedroom,1350.0,7.0,0.0,85.0,3,84
69,69,Kanakpura Road,2 BHK,1005.0,2.0,1.0,36.68,273,5199
70,70,Double Road,3 Bedroom,500.0,3.0,2.0,100.0,1,547
71,71,Begur Road,2 BHK,1358.0,2.0,1.0,80.58,84,5199
72,72,Hegde Nagar,3 BHK,1569.0,3.0,1.0,101.0,49,4309
73,73,Haralur Road,2 BHK,1240.0,2.0,1.0,70.0,142,5199
74,74,Hennur Road,3 BHK,2089.0,3.0,2.0,140.0,152,4309
75,75,Kothannur,2 BHK,1206.0,2.0,1.0,48.23,26,5199
76,76,Kalena Agrahara,2 BHK,1150.0,2.0,3.0,40.0,33,5199
77,77,Cholanayakanahalli,3 BHK,2511.0,3.0,3.0,205.0,7,4309
78,78,Kaval Byrasandra,2 BHK,460.0,1.0,0.0,22.0,22,5199
79,79,ISRO Layout,6 Bedroom,4400.0,6.0,3.0,250.0,13,191
80,80,Kodanda Reddy Layout,3 BHK,1660.0,2.0,2.0,105.0,1,4309
81,81,Hennur Road,4 Bedroom,2957.0,788.0,3.0,224.5,152,826
82,82,Yelahanka,2 BHK,1326.0,2.0,2.0,78.0,213,5199
83,83,Garudachar Palya,3 BHK,1325.0,2.0,2.0,60.8,18,4309
84,84,EPIP Zone,3 BHK,1499.0,5.0,2.0,102.0,23,4309
85,85,Hegde Nagar,6 Bedroom,3000.0,7.0,2.0,210.0,49,191
86,86,Kanakpura Road,3 BHK,1665.0,3.0,2.0,88.0,273,4309
87,87,Dasanapura,2 BHK,708.0,2.0,2.0,37.0,16,5199
88,88,Kasavanhalli,2 BHK,1060.0,2.0,2.0,58.06,80,5199
89,89,Rajaji Nagar,6 Bedroom,710.0,6.0,3.0,160.0,107,191
90,90,Sanjay nagar,2 BHK,1000.0,2.0,2.0,70.0,20,5199
91,91,Electronic City,2 BHK,1000.0,2.0,1.0,28.88,302,5199
92,92, Mysore Highway,3 BHK,1450.0,2.0,2.0,70.0,4,4309
93,93,ISRO Layout,4 Bedroom,1200.0,4.0,2.0,155.0,13,826
94,94,Thanisandra,2 BHK,1296.0,2.0,3.0,80.0,234,5199
95,95,Domlur,3 BHK,1540.0,3.0,2.0,90.0,22,4309
96,96,Kengeri,4 Bedroom,2894.0,4.0,1.0,245.0,73,826
97,97,Sarjapura - Attibele Road,3 BHK,1330.0,2.0,1.0,48.0,17,4309
98,98,Devasthanagalu,2 BHK,1200.0,2.0,1.0,65.0,6,5199
99,99,T Dasarahalli,3 Bedroom,1200.0,3.0,1.0,90.0,4,547
100,100,Yeshwanthpur,3 BHK,2502.0,3.0,3.0,138.0,85,4309
101,101,Chandapura,2 BHK,650.0,1.0,1.0,17.0,100,5199
102,102,Kothanur,3 Bedroom,2400.0,2.0,1.0,150.0,66,547
103,103,Green View Layout,2 BHK,1007.0,2.0,2.0,43.0,7,5199
104,104,Shantiniketan Layout,2 BHK,1200.0,2.0,2.0,50.0,6,5199
105,105,Peenya,2 BHK,966.0,2.0,2.0,49.9,9,5199
106,106,Nagarbhavi,3 BHK,1630.0,2.0,1.0,98.0,63,4309
107,107,Rajaji Nagar,3 BHK,1640.0,3.0,2.0,229.0,107,4309
108,108,Jalahalli West,2 BHK,782.0,2.0,2.0,55.68,8,5199
109,109,Devanahalli,2 BHK,1260.0,2.0,2.0,66.78,45,5199
110,110,Lakshmiamma Garden,3 BHK,1800.0,3.0,3.0,120.0,2,4309
111,111,Byatarayanapura,3 BHK,1413.0,2.0,2.0,75.0,7,4309
112,112,Whitefield,2 BHK,1116.0,2.0,1.0,51.91,540,5199
113,113,Electronic City,3 BHK,1530.0,2.0,1.0,45.9,302,4309
114,114,Ramamurthy Nagar,4 Bedroom,3700.0,4.0,1.0,225.0,73,826
115,115,Sarjapur  Road,3 Bedroom,2497.0,3.0,2.0,140.0,399,547
116,116,Kengeri,3 BHK,1540.0,2.0,3.0,64.0,73,4309
117,117,Thanisandra,3 BHK,1436.0,3.0,1.0,74.75,234,4309
118,118,Malleshwaram,2 BHK,1100.0,2.0,2.0,75.0,58,5199
119,119,Hennur Road,2 Bedroom,276.0,3.0,3.0,23.0,152,329
120,120,Thanisandra,3 BHK,1427.0,3.0,2.0,120.0,234,4309
121,121,Akshaya Nagar,3 BHK,2061.0,3.0,1.0,200.0,62,4309
122,122,Hebbal,4 BHK,3067.0,4.0,0.0,477.0,177,591
123,123,Shampura,4 BHK,2650.0,4.0,2.0,150.0,13,591
124,124,Devanahalli,3 BHK,1282.0,2.0,2.0,68.52,45,4309
125,125,Kadugodi,2 BHK,1050.0,2.0,1.0,34.0,42,5199
126,126,LB Shastri Nagar,3 BHK,1600.0,3.0,2.0,65.0,11,4309
127,127,Vajarahalli,2 BHK,945.0,2.0,1.0,54.0,8,5199
128,128,Hormavu,2 BHK,1500.0,2.0,1.0,78.0,74,5199
129,129,Vishwapriya Layout,7 Bedroom,950.0,7.0,0.0,115.0,12,83
