,total_sqft,bath,balcony,price,location_encode,size_encode
0,1056.0,2.0,1.0,39.07,132,5199
1,2600.0,5.0,3.0,120.0,17,826
2,1440.0,2.0,3.0,62.0,186,4309
3,1521.0,3.0,1.0,95.0,23,4309
4,1200.0,2.0,1.0,51.0,66,5199
5,1170.0,2.0,1.0,38.0,540,5199
6,2732.0,4.0,3.0,204.0,33,591
7,3300.0,4.0,3.0,600.0,107,591
8,1310.0,3.0,1.0,63.25,175,4309
9,1020.0,6.0,3.0,370.0,2,191
10,1800.0,2.0,2.0,70.0,540,4309
11,2785.0,5.0,3.0,295.0,540,826
12,1000.0,2.0,1.0,38.0,149,5199
13,1100.0,2.0,2.0,40.0,48,5199
14,2250.0,3.0,2.0,148.0,82,547
15,1175.0,2.0,2.0,73.5,50,5199
16,1180.0,3.0,2.0,48.0,51,4309
17,1540.0,3.0,3.0,60.0,171,4309
18,2770.0,4.0,2.0,290.0,7,4309
19,1100.0,2.0,2.0,48.0,8,5199
20,600.0,1.0,1.0,15.0,73,538
21,1755.0,3.0,1.0,122.0,21,4309
22,2800.0,5.0,2.0,380.0,234,826
23,1767.0,3.0,1.0,103.0,96,4309
24,510.0,1.0,0.0,25.25,3,13
25,1250.0,3.0,2.0,56.0,3,4309
26,660.0,1.0,1.0,23.1,302,5199
27,1610.0,3.0,2.0,81.0,540,4309
28,1151.0,2.0,2.0,48.77,50,5199
29,1025.0,2.0,1.0,47.0,302,4309
30,2100.0,4.0,0.0,186.0,213,591
31,1075.0,2.0,1.0,35.0,51,4309
32,1760.0,2.0,2.0,123.0,177,4309
33,1693.0,3.0,3.0,57.39,171,4309
34,1925.0,3.0,3.0,125.0,16,4309
35,700.0,2.0,1.0,36.0,273,5199
36,1070.0,2.0,1.0,45.5,88,5199
37,1724.0,3.0,2.0,125.0,47,4309
38,1290.0,2.0,2.0,56.12,30,4309
39,1143.0,2.0,2.0,45.0,186,5199
40,1296.0,2.0,3.0,81.0,14,5199
41,1254.0,3.0,2.0,38.0,399,4309
42,600.0,1.0,0.0,38.0,10,538
43,660.0,1.0,0.0,48.0,213,121
44,1330.74,2.0,2.0,91.79,273,5199
45,600.0,9.0,3.0,200.0,53,84
46,970.0,2.0,0.0,33.0,30,5199
47,1459.0,2.0,1.0,94.82,540,5199
48,800.0,1.0,1.0,130.0,91,329
49,869.0,2.0,1.0,36.0,3,5199
50,1270.0,2.0,1.0,50.0,1,5199
51,1670.0,3.0,1.0,99.0,49,4309
52,2010.0,3.0,2.0,91.0,540,4309
53,1185.0,2.0,2.0,75.0,36,5199
54,1600.0,2.0,3.0,75.0,213,4309
55,1200.0,2.0,2.0,44.0,84,5199
56,3010.0,788.0,3.0,192.0,45,826
57,1500.0,2.0,2.0,185.0,7,5199
58,1407.0,4.0,1.0,150.0,14,191
59,840.0,2.0,2.0,45.0,2,5199
60,4395.0,3.0,2.0,240.0,1,547
61,845.0,2.0,1.0,55.0,10,5199
62,5700.0,5.0,3.0,650.0,540,826
63,1160.0,2.0,2.0,44.0,70,5199
64,3000.0,8.0,0.0,140.0,35,84
65,1100.0,2.0,1.0,62.0,30,5199
66,1140.0,2.0,3.0,43.0,22,5199
67,1220.0,2.0,1.0,57.0,175,5199
68,1350.0,7.0,0.0,85.0,3,84
69,1005.0,2.0,1.0,36.68,273,5199
70,500.0,3.0,2.0,100.0,1,547
71,1358.0,2.0,1.0,80.58,84,5199
72,1569.0,3.0,1.0,101.0,49,4309
73,1240.0,2.0,1.0,70.0,142,5199
74,2089.0,3.0,2.0,140.0,152,4309
75,1206.0,2.0,1.0,48.23,26,5199
76,1150.0,2.0,3.0,40.0,33,5199
77,2511.0,3.0,3.0,205.0,7,4309
78,460.0,1.0,0.0,22.0,22,5199
79,4400.0,6.0,3.0,250.0,13,191
80,1660.0,2.0,2.0,105.0,1,4309
81,2957.0,788.0,3.0,224.5,152,826
82,1326.0,2.0,2.0,78.0,213,5199
83,1325.0,2.0,2.0,60.8,18,4309
84,1499.0,5.0,2.0,102.0,23,4309
85,3000.0,7.0,2.0,210.0,49,191
86,1665.0,3.0,2.0,88.0,273,4309
87,708.0,2.0,2.0,37.0,16,5199
88,1060.0,2.0,2.0,58.06,80,5199
89,710.0,6.0,3.0,160.0,107,191
90,1000.0,2.0,2.0,70.0,20,5199
91,1000.0,2.0,1.0,28.88,302,5199
92,1450.0,2.0,2.0,70.0,4,4309
93,1200.0,4.0,2.0,155.0,13,826
94,1296.0,2.0,3.0,80.0,234,5199
95,1540.0,3.0,2.0,90.0,22,4309
96,2894.0,4.0,1.0,245.0,73,826
97,1330.0,2.0,1.0,48.0,17,4309
98,1200.0,2.0,1.0,65.0,6,5199
99,1200.0,3.0,1.0,90.0,4,547
100,2502.0,3.0,3.0,138.0,85,4309
101,650.0,1.0,1.0,17.0,100,5199
102,2400.0,2.0,1.0,150.0,66,547
103,1007.0,2.0,2.0,43.0,7,5199
104,1200.0,2.0,2.0,50.0,6,5199
105,966.0,2.0,2.0,49.9,9,5199
106,1630.0,2.0,1.0,98.0,63,4309
107,1640.0,3.0,2.0,229.0,107,4309
108,782.0,2.0,2.0,55.68,8,5199
109,1260.0,2.0,2.0,66.78,45,5199
110,1800.0,3.0,3.0,120.0,2,4309
111,1413.0,2.0,2.0,75.0,7,4309
112,1116.0,2.0,1.0,51.91,540,5199
113,1530.0,2.0,1.0,45.9,302,4309
114,3700.0,4.0,1.0,225.0,73,826
115,2497.0,3.0,2.0,140.0,399,547
116,1540.0,2.0,3.0,64.0,73,4309
117,1436.0,3.0,1.0,74.75,234,4309
118,1100.0,2.0,2.0,75.0,58,5199
119,276.0,3.0,3.0,23.0,152,329
120,1427.0,3.0,2.0,120.0,234,4309
121,2061.0,3.0,1.0,200.0,62,4309
122,3067.0,4.0,0.0,477.0,177,591
123,2650.0,4.0,2.0,150.0,13,591
124,1282.0,2.0,2.0,68.52,45,4309
125,1050.0,2.0,1.0,34.0,42,5199
126,1600.0,3.0,2.0,65.0,11,4309
127,945.0,2.0,1.0,54.0,8,5199
128,1500.0,2.0,1.0,78.0,74,5199
129,950.0,7.0,0.0,115.0,12,83
130,1870.0,3.0,3.0,110.0,9,4309
131,1600.0,3.0,1.0,75.0,82,547
132,880.0,1.0,1.0,16.5,302,5199
133,1200.0,4.0,0.0,210.0,1,826
134,1535.0,3.0,2.0,83.0,39,4309
135,950.0,2.0,1.0,57.0,273,5199
136,1360.0,2.0,1.0,65.0,45,5199
137,1042.0,2.0,0.0,54.005,57,5199
