,location,size,total_sqft,bath,balcony,price
0,Electronic City Phase II,2 BHK,1056.0,2.0,1.0,39.07
1,Chikka Tirupathi,4 Bedroom,2600.0,5.0,3.0,120.0
2,Uttarahalli,3 BHK,1440.0,2.0,3.0,62.0
3,Lingadheeranahalli,3 BHK,1521.0,3.0,1.0,95.0
4,Kothanur,2 BHK,1200.0,2.0,1.0,51.0
5,Whitefield,2 BHK,1170.0,2.0,1.0,38.0
6,Old Airport Road,4 BHK,2732.0,4.0,3.0,204.0
7,Rajaji Nagar,4 BHK,3300.0,4.0,3.0,600.0
8,Marathahalli,3 BHK,1310.0,3.0,1.0,63.25
9,Gandhi Bazar,6 Bedroom,1020.0,6.0,3.0,370.0
10,Whitefield,3 BHK,1800.0,2.0,2.0,70.0
11,Whitefield,4 Bedroom,2785.0,5.0,3.0,295.0
12,7th Phase JP Nagar,2 BHK,1000.0,2.0,1.0,38.0
13,Gottigere,2 BHK,1100.0,2.0,2.0,40.0
14,Sarjapur,3 Bedroom,2250.0,3.0,2.0,148.0
15,Mysore Road,2 BHK,1175.0,2.0,2.0,73.5
16,Bisuvanahalli,3 BHK,1180.0,3.0,2.0,48.0
17,Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,3.0,60.0
18,Ramakrishnappa Layout,3 BHK,2770.0,4.0,2.0,290.0
19,Manayata Tech Park,2 BHK,1100.0,2.0,2.0,48.0
20,Kengeri,1 BHK,600.0,1.0,1.0,15.0
21,Binny Pete,3 BHK,1755.0,3.0,1.0,122.0
22,Thanisandra,4 Bedroom,2800.0,5.0,2.0,380.0
23,Bellandur,3 BHK,1767.0,3.0,1.0,103.0
24, Thanisandra,1 RK,510.0,1.0,0.0,25.25
25,Mangammanapalya,3 BHK,1250.0,3.0,2.0,56.0
26,Electronic City,2 BHK,660.0,1.0,1.0,23.1
27,Whitefield,3 BHK,1610.0,3.0,2.0,81.0
28,Ramagondanahalli,2 BHK,1151.0,2.0,2.0,48.77
29,Electronic City,3 BHK,1025.0,2.0,1.0,47.0
30,Yelahanka,4 BHK,2100.0,4.0,0.0,186.0
31,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,35.0
32,Hebbal,3 BHK,1760.0,2.0,2.0,123.0
33,Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,3.0,57.39
34,Kasturi Nagar,3 BHK,1925.0,3.0,3.0,125.0
35,Kanakpura Road,2 BHK,700.0,2.0,1.0,36.0
36,Electronics City Phase 1,2 BHK,1070.0,2.0,1.0,45.5
37,Kundalahalli,3 BHK,1724.0,3.0,2.0,125.0
38,Chikkalasandra,3 BHK,1290.0,2.0,2.0,56.12
39,Uttarahalli,2 BHK,1143.0,2.0,2.0,45.0
40,Murugeshpalya,2 BHK,1296.0,2.0,3.0,81.0
41,Sarjapur  Road,3 BHK,1254.0,3.0,2.0,38.0
42,Ganga Nagar,1 BHK,600.0,1.0,0.0,38.0
43,Yelahanka,1 Bedroom,660.0,1.0,0.0,48.0
44,Kanakpura Road,2 BHK,1330.74,2.0,2.0,91.79
45,HSR Layout,8 Bedroom,600.0,9.0,3.0,200.0
46,Doddathoguru,2 BHK,970.0,2.0,0.0,33.0
47,Whitefield,2 BHK,1459.0,2.0,1.0,94.82
48,KR Puram,2 Bedroom,800.0,1.0,1.0,130.0
49,Himagiri Meadows,2 BHK,869.0,2.0,1.0,36.0
50,Adarsh Nagar,2 BHK,1270.0,2.0,1.0,50.0
51,Bhoganhalli,3 BHK,1670.0,3.0,1.0,99.0
52,Whitefield,3 BHK,2010.0,3.0,2.0,91.0
